,percents
0,1.2%
1,47%
2,39.6%
3,47%
4,47%
5,4.2%
6,47%
7,35%
8,4.2%
9,15%
10,39.6%
11,15%
12,80-90%
13,40%
14,10%
15,1.7%
16,1.5%
17,1.4%
18,1.9 percent
19,99 percent
20,9.3%
21,26%
22,1.5%
23,7-8%
24,0.1 percent
25,0.2 percent
26,0.4 percent
27,0.2 percent
28,0.6 percent
29,14 percent
30,50%
31,20 percent
32,50 percent
33,16.0%
34,3.1%
35,5-6%
36,0.2 percent
37,0.01 percent
38,35%
39,15%
40,40%
41,15%
42,15%
43,10%
44,0.7 percent
45,35 percent
46,2.3 percent
47,13 percent
48,around five percent
49,50 percent
50,20 percent
51,12.3 percent
52,1.3%
53,6.1%
54,a one percent
55,6.2 percent
56,21.7 percent
57,1.4%
58,5.2 percent
59,1.8 percent
60,21.7 percent
61,20%
62,39.6%
63,40%
64,40%
65,26%
66,23.8%
67,1.25%
68,70%
69,10%
70,39.4 percent
71,39.6 percent
72,20 percent
73,13.9 percent
74,17.5 percent
75,6.7 percent
76,28.2 percent
77,90%
78,0.3 percent
79,0.6 percent
80,0.7 percent
81,0.3 percent
82,7.7 percent
83,9.2 percent
84,0.2 percent
85,0.4 percent
86,0.7 percent
87,0.4 percent
88,3.5%
89,0.5 percent
90,50.7 percent
91,50.3 percent
92,52.6 percent
93,52.7 percent
94,51.5 percent
95,17%
96,51 percent
97,2.5 percent
98,grew nine percent
99,and three percent
100,5.3 percent
101,5.5%
102,15.96%
103,3.1%
104,7.8 percent
105,40%
106,2.07%
107,6.67%
108,1.73%
109,8.88%
110,40%
111,69%
112,1.73%
113,2.07%
114,48%
115,3.60%
116,6.24%
117,around five percent
118,exceeding three percent
119,to five percent
120,1.8178%
121,13.5 percent
122,20 percent
123,42 percent
124,90 percent
125,49 percent
126,49%
127,32%
128,24%
129,4.348%
130,2.701%
131,100%
132,3.1%
133,2.24%
134,98 percent
135,25 percent
136,22 percent
137,2.8 percent
138,33.4%
139,28.3 percent
140,"1,210%"
141,0.19%
142,6.5 percent
143,6.5 percent
144,6.5 percent
145,0.1 percent
146,40%
147,6.5%
148,6.5 percent
149,7.7 percent
150,1/2 percent
151,1/4 percent
152,1/4 percent
153,40%
154,26.4 percent
155,26.9 percent
156,16 percent
157,15 percent
158,80%
159,39.6%
160,10 percent
161,1.6 percent
162,4.9 percent
163,100%
164,60 percent
165,0.7 percent
166,90 percent
167,50%
168,84.69%
169,2.5 percent
170,2.6 percent
171,3.0 percent
172,50%
173,22 percent
174,43 percent
175,22 percent
176,33 percent
177,14 percent
178,215 percent
179,60 percent
180,189 percent
181,90 percent
182,4.3%
183,1.8%
184,2.83%
185,10.1%
186,8.7%
187,5.5%
188,5.5%
189,0.9%
190,0.3%
191,0.18%
192,13 percent
193,44 percent
194,1.5%
195,11%
196,6.5%
197,11%
198,20%
199,30%
200,0.1%
201,7.8%
202,7.7%
203,0.3%
204,63.6%
205,14.4%
206,1.4%
207,19%
208,13%
209,1.8%
210,2.1%
211,2.1%
212,0.3 percent
213,7.8 percent
214,16 percent
215,100 percent
216,6.5 percent
217,7.1 percent
218,6.5 percent
219,20%
220,10%
221,1.3%
222,16 percent
223,17 percent
224,4.5 percent
225,0.2 percent
226,2.2 percent
227,1.6 percent
228,65 percent
229,23 percent
230,0.52 percent
231,50 percent
232,75 percent
233,9.4 percent
234,7.2 percent
235,11 percent
236,35 percent
237,34 percent
238,10 percent
239,36 percent
240,7.6 percent
241,33 percent
242,13 percent
243,7.8 percent
244,1.4 percent
245,1.3%
246,500%
247,53%
248,0.0%
249,0.4 percent
250,0.8 percent
251,0.2 percent
252,0.4 percent
253,0.3 percent
254,0.1 percent
255,0.3 percent
256,21%
257,16%
258,32%
259,22%
260,7.8%
261,50%
262,61.8%
263,2.8%
264,0.825%
265,6.5%
266,1.94 percent
267,1.96%
268,20.2 percent
269,37.8 percent
270,7.7%
271,2.2 percent
272,5.1 percent
273,0.8 percent
274,6.5 percent
275,7.7 percent
276,7.8%
277,6.5%
278,7.6 percent
279,1.91%
280,0.1 percent
281,0.2 percent
282,0.1 percent
283,0.2 percent
284,10%
285,0.2%
286,25%
287,10%
288,14%
289,40%
290,6.5%
291,6.5%
292,95%
293,50%
294,20%
295,7.1 percent
296,7.8 percent
297,7.1 percent
298,7.8 percent
299,0.1 percent
300,0.1 percent
301,100%
302,11.9%
303,5.8%
304,4.1%
305,80%
306,80%
307,50%
308,70%
309,7.9 percent
310,1.0 percent
311,9.1 percent
312,70.6 percent
313,16 percent
314,2.0%
315,0.9 percent
316,3.5 percent
317,13 percent
318,21 percent
319,26.6 percent
320,15.9 percent
321,16 percent
322,24 percent
323,22 percent
324,16 percent
325,16 percent
326,37 percent
327,16 percent
328,30 percent
329,20 percent
330,0.1 percent
331,37%
332,83%
333,15.7%
334,3.2 percent
335,80%
336,25 percent
337,52%
338,0.9 percent
339,0.7 percent
340,0.1 percent
341,3.3 percent
342,21 percent
343,19.5 percent
344,53.1 percent
345,53.3 percent
346,50 percent
347,1.99 percent
348,7.9 percent
349,6.5 percent
350,7.9%
351,0.2%
352,35%
353,40 percent
354,27 percent
355,a two percent
356,4.2 percent
357,0.3 percent
358,55.6%
359,6.5 percent
360,7.8%
361,7.7%
362,44%
363,2.4 percent
364,33%
365,8.5%
366,87%
367,10%
368,50%
369,16.3 percent
370,1.6%
371,98 percent
372,7.3 percent
373,70%
374,59%
375,42%
376,16%
377,80%
378,25%
379,80%
380,30 percent
381,30 percent
382,4.5%
383,12.4%
384,69 percent
385,2.5%
386,50%
387,25%
388,13%
389,13%
390,0.9 percent
391,25%
392,60%
393,24%
394,10%
395,7.5 percent
396,60%
397,70%
398,73 percent
399,90 percent
400,0.5%
401,3.99%
402,1.3%
403,2.5%
404,2.1%
405,1.5%
406,2.6%
407,8.24%
408,5.9%
409,4.5%
410,20%
411,15 percent
412,4.5 percent
413,98.22%
414,57 percent
415,43 percent
416,1.8 percent
417,0.3 percent
418,1.8 percent
419,0.3 percent
420,0.2 percent
421,0.4 percent
422,0.3 percent
423,0.8 percent
424,0.1 percent
425,20%
426,20 percent
427,58 percent
428,28%
429,70 percent
430,0.5%
431,2.1%
432,35%
433,1.6%
434,2.46%
435,2.6%
436,10 percent
437,1.3%
438,0.5%
439,2.4%
440,25%
441,25%
442,3.8 percent
443,17.2%
444,3.8%
445,33.5%
446,24.6%
447,6.2%
448,20.3%
449,7.1%
450,27.1%
451,6.7%
452,mid teen percent
453,2.3%
454,1.3%
455,0.7 percent
456,9.3%
457,8.7%
458,51%
459,10%
460,0.7 percent
461,60%
462,8.0 percent
463,5.3 percent
464,2.4 percent
465,77 percent
466,5.3 percent
467,76 percent
468,2.4 percent
469,73 percent
470,36 percent
471,25 percent
472,15.8 percent
473,19 percent
474,22.8 percent
475,25.2 percent
476,23 percent
477,25 percent
478,87 percent
479,1.4 percent
480,3.4 percent
481,2.1 percent
482,5.2 percent
483,40%
484,16.3 percent
485,22 percent
486,8.3 percent
487,7.5 percent
488,26%
489,55.1%
490,56.4 percent
491,3.9 percent
492,1.9 percent
493,4.5%
494,25%
495,25 percent
496,14 percent
497,11%
498,25%
499,25%
500,42%
501,19%
502,13%
503,2.5 percent
504,2.5%
505,90 percent
506,34%
507,129%
508,1.77%
509,37%
510,10%
511,0.8%
512,4.5%
513,2.5%
514,40%
515,110%
516,120%
517,120%
518,12%
519,125%
520,12%
521,125%
522,3.2%
523,125%
524,12%
525,36.12%
526,12%
527,12%
528,40%
529,60%
530,25%
531,125%
532,41/4%
533,41/2%
534,33 percent
535,125 percent
536,90%
537,88%
538,19%
539,"17,320%"
540,0.2 percent
541,2.2%
542,36%
543,63 percent
544,70%
545,10%
546,20 percent
547,40%
548,20 percent
549,19%
550,37%
551,90%
552,78%
553,15%
554,17%
555,1.5 percent
556,4.7%
557,0.7%
558,2.1 percent
559,0.4 percent
560,1.1 percent
561,7.1 percent
562,0.7 percent
563,12.4 percent
564,3.3 percent
565,2.4%
566,0.2%
567,25%
568,11.9%
569,19.9%
570,38.7%
571,47%
572,58%
573,2.1%
574,22%
575,1.5%
576,80%
577,15%
578,88%
579,19%
580,"17,320%"
581,110%
582,120%
583,19.8%
584,16 percent
585,24 percent
586,33 percent
587,25%
588,50%
589,58 percent
590,than four percent
591,12 percent
592,20 percent
593,20%
594,129%
595,128%
596,129%
597,128%
598,3.7 percent
599,50%
600,2.8%
601,7.5 percent
602,13.5 percent
603,1.1 percent
604,8.7 percent
605,10 percent
606,20 percent
607,6.5 percent
608,1.256%
609,67.7%
610,128 percent
611,7.5 percent
612,8.0%
613,0.6 percent
614,3.3 percent
615,7.1%
616,32 percent
617,16 percent
618,90 percent
619,39.9%
620,0.2 percent
621,105 percent
622,40%
623,40%
624,47 percent
625,14.6 percent
626,16%
627,45 percent
628,19 percent
629,0.5%
630,22 percent
631,50 percent
632,3.6%
633,0.2%
634,2.6%
635,1.5 percent
636,1.5%
637,50%
638,28.3 percent
639,75%
640,14.11%
641,53%
642,13%
643,4.7%
644,1.0%
645,30%
646,30%
647,30%
648,70%
649,30%
650,1.3%
651,3.6%
652,9.25%
653,1.5%
654,1.37%
655,0.6%
656,6.5 percent
657,2.9 percent
658,1.3 percent
659,0.3 percent
660,0.1%
661,3.7%
662,1.5%
663,0.4%
664,1.3 percent
665,120 percent
666,1.63 percent
667,46 percent
668,3.25%
669,82 percent
670,12 percent
671,0.8 percent
672,40 percent
673,5.1%
674,46 percent
675,0.2 percent
676,1.0%
677,0.1%
678,0.3%
679,0.5%
680,20 percent
681,97-99 percent
682,80 percent
683,10%
684,70%
685,32%
686,20%
687,9.9%
688,25.5%
689,10.8 percent
690,month sixty percent
691,50%
692,9.7 percent
693,0.7 percent
694,1.8 percent
695,20 percent
696,32 percent
697,25%
698,57%
699,31%
700,56%
701,100%
702,200%
703,30.2%
704,42.4%
705,3.1%
706,2.75%
707,8.2 percent
708,10 percent
709,10 percent
710,8.5 percent
711,1.75%
712,1.4%
713,200 percent
714,25 percent
715,144 percent
716,37 percent
717,69 percent
718,1.8 percent
719,40%
720,70 percent
721,75 percent
722,25-30 percent
723,50 percent
724,24.5%
725,24.5%
726,30.7%
727,21%
728,29%
729,90%
730,0.0 percent
731,10%
732,12 percent
733,2.4 percent
734,30%
735,26%
736,100%
737,10%
738,10%
739,99%
740,99%
741,99%
742,99%
743,99%
744,5.58 percent
745,10%
746,100 percent
747,51.3 percent
748,52.2 percent
749,1.6 percent
750,1.2 percent
751,2.1 percent
752,2.2 percent
753,4.9 percent
754,2.1%
755,1.0%
756,1.4%
757,nly four percent
758,2.1 percent
759,2.5%
760,3.0%
761,3.3%
762,1.4%
763,7.6 percent
764,6.4 percent
765,6.37 percent
766,97 percent
767,44 percent
768,55 percent
769,0.6 percent
770,75%
771,2.3 percent
772,at six percent
773,6.5 percent
774,1.6%
775,2.5 percent
776,87%
777,7.6%
778,4.3%
779,2.5%
780,6.3 percent
781,5.9 percent
782,34.4 percent
783,10 percent
784,37.8 percent
785,13.2 percent
786,16 percent
787,22 percent
788,24 percent
789,15 percent
790,12.5 percent
791,52.9 percent
792,10 percent
793,11%
794,11%
795,0.1%
796,12 percent
797,5.4%
798,13 percent
799,30%
800,20%
801,15-20%
802,97%
803,2.6 percent
804,60.9 percent
805,20 percent
806,98 percent
807,3.0 percent
808,2.9 percent
809,2.0 percent
810,60 percent
811,40%
812,12%
813,50 percent
814,100%
815,40 percent
816,631%
817,33.8%
818,12%
819,0.3%
820,1.8 percent
821,0.9 percent
822,0.6 percent
823,17 percent
824,0.7 percent
825,100 percent
826,13%
827,0.99 percent
828,1.3%
829,1.5%
830,0.8 percent
831,2.40 percent
832,14 percent
833,20 percent
834,1.0 percent
835,3.0 percent
836,3.0 percent
837,3.8 percent
838,3.8%
839,3.6 percent
840,0.75%
841,5.1%
842,20%
843,20%
844,36%
845,34%
846,20%
847,25 percent
848,50.6%
849,73%
850,100%
851,1.3%
852,1.5%
853,2.0%
854,0.7%
855,1.86%
856,10.2 percent
857,10.3 percent
858,34 percent
859,34 percent
860,12.2%
861,40%
862,0.5%
863,0.2%
864,0.8%
865,5.6%
866,7.7 percent
867,1/2 percent
868,91.2%
869,81.0%
870,64.6%
871,0.6%
872,2.4%
873,1.9%
874,2.9%
875,27.9%
876,1.5 percent
877,1.29%
878,1.72%
879,2.92%
880,20%
881,0.5%
882,0.3 percent
883,48 percent
884,47 percent
885,50 percent
886,1.1 percent
887,45%
888,20%
889,50%
890,3.5%
891,14 percent
892,23 percent
893,28 percent
894,18.11%
895,10 percent
896,0.75 percent
897,3.5%
898,80%
899,0.5 percent
900,2.2%
901,5.25%
902,1.3%
903,3.1%
904,75%
905,0.1%
906,0.09%
907,0.2 percent
908,0.5 percent
909,1.2 percent
910,0.1 percent
911,0.1 percent
912,2.2 percent
913,0.425 percent
914,100%
915,42.3 percent
916,10 percent
917,20 percent
918,10 percent
919,2.7 percent
920,20%
921,20%
922,0.2 percent
923,7.8 percent
924,0.8 percent
925,10.9 percent
926,30%
927,30%
928,18%
929,10%
930,41 percent
931,7.6 percent
932,58.5%
933,7.8%
934,8.1 percent
935,0.5 percent
936,8.1 percent
937,9.6 percent
938,17 percent
939,17.5 percent
940,16.9 percent
941,11 percent
942,63.3 percent
943,64.1 percent
944,63.7 percent
945,63.8 percent
946,7.6 percent
947,7.6 percent
948,63.3 percent
949,7.6%
950,35 percent
951,6.5 percent
952,1.23%
953,1.76 percent
954,0.12 percent
955,1.12 percent
956,7.5 percent
957,1.27 percent
958,7.37 percent
959,0.60 percent
960,7.8 percent
961,7.7 percent
962,2.7%
963,4.5%
964,1.5%
965,0.4%
966,0.3%
967,54%
968,30%
969,99%
970,21%
971,0.9%
972,1/4 percent
973,3.61%
974,20%
975,23%
976,3;4%
977,90 percent
978,1.7%
979,0.6%
980,2.5%
981,3.1%
982,16%
983,30%
984,5-9%
985,25%
986,1.7%
987,0.6%
988,1.5%
989,0.6 percent
990,0.4 percent
991,1.5 percent
992,4.1 percent
993,2.9 percent
994,5.2 percent
995,50.7 percent
996,0.9 percent
997,50.2 percent
998,50 percent
999,2.8%
1000,3.2%
1001,1.5%
1002,0.6%
1003,250%
1004,25%
1005,1.2%
1006,12.1%
1007,0.1%
1008,0.4%
1009,0.3%
1010,1.0%
1011,7.5%
1012,13.07%
1013,6.34%
1014,2.84%
1015,0.8%
1016,2.8%
1017,0.4%
1018,15%
1019,46%
1020,45%
1021,100%
1022,90%
1023,100%
1024,90%
1025,90%
1026,1.3%
1027,0.50%
1028,125%
1029,1.8%
1030,0.7 percent
1031,20 percent
1032,77%
1033,3.8%
1034,90%
1035,38%
1036,15%
1037,50%
1038,0.9%
1039,10%
1040,15%
1041,0.5%
1042,55%
1043,20%
1044,238%
1045,20%
1046,40%
1047,7.5%
1048,50.7 percent
1049,0.9 percent
1050,50.2 percent
1051,50 percent
1052,2.9%
1053,1.9%
1054,0.5 percent
1055,7.5 percent
1056,1.1%
1057,7.5%
1058,7.5%
1059,7.6%
1060,26%
1061,10%
1062,20%
1063,20%
1064,20%
1065,23%
1066,20%
1067,22%
1068,22%
1069,23%
1070,14%
1071,50%
1072,18%
1073,18%
1074,50%
1075,18%
1076,15%
1077,12%
1078,18%
1079,18%
1080,18%
1081,22.5%
1082,22%
1083,33%
1084,10 percent
1085,20%
1086,15%
1087,22%
1088,20%
1089,7.7%
1090,7.5%
1091,71/2%
1092,0.2%
1093,15%
1094,15%
1095,8.8%
1096,20%
1097,7.5%
1098,1.5%
1099,15%
1100,2.0%
1101,4.46%
1102,1.47%
1103,3.4%
1104,20%
1105,10.5%
1106,4.5%
1107,10%
1108,0.6%
1109,6.5%
1110,0.08%
1111,7.7%
1112,27.5%
1113,1.3%
1114,15%
1115,60 percent
1116,38 percent
1117,60 percent
1118,100%
1119,40-60%
1120,30 percent
1121,50 percent
1122,100 percent
1123,320%
1124,40%
1125,17 percent
1126,20-24%
1127,or two percent
1128,75%
1129,15%
1130,75%
1131,8.7%
1132,35.4%
1133,11%
1134,19%
1135,5-10%
1136,53 percent
1137,24 percent
1138,16 percent
1139,4.75 percent
1140,0.9%
1141,3.6%
1142,70%
1143,2.2%
1144,4.5%
1145,0.9%
1146,6.1%
1147,4.1%
1148,20%
1149,10.2%
1150,10.9%
1151,20%
1152,65%
1153,10%
1154,2.65%
1155,9.03%
1156,7.52%
1157,2.3%
1158,0.5%
1159,0.1%
1160,0.1%
1161,2.1%
1162,2.3%
1163,12.8%
1164,2.0%
1165,3.0%
1166,4.9%
1167,0.1%
1168,0.3%
1169,7.6%
1170,43%
1171,3.2%
1172,0.9%
1173,18%
1174,4.8%
1175,6.2%
1176,6.7%
1177,25%
1178,20%
1179,51%
1180,26%
1181,50 percent
1182,10.2 percent
1183,38%
1184,2.75%
1185,2.75%
1186,90 percent
1187,20%
1188,25%
1189,88%
1190,24%
1191,5.38%
1192,8.9%
1193,7.91%
1194,15%
1195,10%
1196,60%
1197,30%
1198,0.1%
1199,0.6%
1200,15%
1201,0.9%
1202,2.2%
1203,3.4%
1204,4.7%
1205,6.5%
1206,23 percent
1207,39.6 percent
1208,1.7 percent
1209,16%
1210,30 percent
1211,0.50 percent
1212,10 percent
1213,27 percent
1214,20 percent
1215,22 percent
1216,1.0%
1217,2.1%
1218,1.3%
1219,17%
1220,1.8%
1221,10%
1222,2.09%
1223,0.3%
1224,0.4%
1225,25 percent
1226,80 percent
1227,20%
1228,0.4%
1229,0.8%
1230,1.0 percent
1231,0.1 percent
1232,2.2 percent
1233,1.2 percent
1234,4.4 percent
1235,0.5 percent
1236,10%
1237,3.2%
1238,18%
1239,62.5%
1240,50%
1241,25%
1242,12 percent
1243,12 percent
1244,1+5%
1245,39.6%
1246,20%
1247,39.6%
1248,28%
1249,20%
1250,1+9%
1251,50%
1252,12%
1253,40%
1254,10%
1255,50%
1256,25 percent
1257,34 percent
1258,20 percent
1259,10%
1260,9.9%
1261,45.0%
1262,27.8%
1263,3.7%
1264,6.35%
1265,3.7%
1266,17%
1267,99 percent
1268,99 percent
1269,90 percent
1270,80 percent
1271,40 percent
1272,70 percent
1273,7.3%
1274,15%
1275,59%
1276,59%
1277,59%
1278,10 percent
1279,20 percent
1280,1.7%
1281,65%
1282,15%
1283,15%
1284,0.5%
1285,11%
1286,10%
1287,0.6%
1288,10.5 percent
1289,10.5 percent
1290,10 percent
1291,7.5 percent
1292,2.25-2.30%
1293,2.15%
1294,2.12%
1295,70%
1296,100%
1297,8.2%
1298,4.5%
1299,38%
1300,15%
1301,22%
1302,78%
1303,2.5%
1304,1.3%
1305,2.2%
1306,12.1%
1307,3.2%
1308,11.9%
1309,20%
1310,17%
1311,2.1%
1312,146%
1313,26%
1314,1.6%
1315,0.8%
1316,10%
1317,97%
1318,35%
1319,100%
1320,75%
1321,2.2%
1322,6.2%
1323,660%
1324,99%
1325,1.4%
1326,145%
1327,22%
1328,30%
1329,10%
1330,40%
1331,30%
1332,47%
1333,2.5%
1334,2.4%
1335,63%
1336,2.1%
1337,1.5%
1338,1.4%
1339,4.1%
1340,3.8%
1341,17%
1342,2.10%
1343,2.06%
1344,4.13%
1345,5.72%
1346,90 percent
1347,0.5 percent
1348,1.5 percent
1349,15 percent
1350,10-20 percent
1351,6-7 percent
1352,22 percent
1353,10 percent
1354,95 percent
1355,40 percent
1356,bout sixty percent
1357,40 percent
1358,29 percent
1359,17 percent
1360,36 percent
1361,64 percent
1362,16 percent
1363,20 percent
1364,15 percent
1365,90 percent
1366,3.3 percent
1367,34 percent
1368,30 percent
1369,45 percent
1370,11 percent
1371,77 percent
1372,28 percent
1373,16 percent
1374,90 percent
1375,15 percent
1376,30 percent
1377,2.0 percent
1378,1.1%
1379,4.4%
1380,0.6 percent
1381,30%
1382,50%
1383,6.7%
1384,15%
1385,40%
1386,4.1%
1387,0.9%
1388,1.0%
1389,36 percent
1390,43 percent
1391,10 percent
1392,33 percent
1393,40 percent
1394,20%
1395,20%
1396,3.8%
1397,17%
1398,1.0%
1399,4.7%
1400,3.3%
1401,270 percent
1402,24 percent
1403,0.3%
1404,1.4%
1405,1.2%
1406,2.02%
1407,4.12%
1408,37%
1409,4.3%
1410,1.1 percent
1411,0.5%
1412,46.2%
1413,4.5%
1414,4.1%
1415,50%
1416,40%
1417,220 percent
1418,36%
1419,64%
1420,18%
1421,0.5%
1422,0.2%
1423,1.1%
1424,1.4%
1425,0.3 percent
1426,70 percent
1427,3.5 percent
1428,70%
1429,50%
1430,50 percent
1431,10%
1432,61%
1433,400%
1434,2.5%
1435,2.5%
1436,77%
1437,138%
1438,26%
1439,99%
1440,23%
1441,11%
1442,13.25%
1443,9.15%
1444,39.6%
1445,20%
1446,23%
1447,23%
1448,2.6%
1449,100%
1450,100%
1451,11%
1452,11%
1453,0.5%
1454,0.6%
1455,5.4%
1456,0.1%
1457,1.2%
1458,1.6%
1459,1.2%
1460,11.8 percent
1461,1.1 percent
1462,7.1 percent
1463,11.8 percent
1464,2.3 percent
1465,27 percent
1466,1.7 percent
1467,5.66%
1468,2.5%
1469,2.7%
1470,2.1%
1471,60%
1472,2.4%
1473,5.48%
1474,7.0%
1475,40 percent
1476,10 percent
1477,0.8%
1478,12.1%
1479,12.0%
1480,80%
1481,25 percent
1482,50 percent
1483,15 percent
1484,17%
1485,42%
1486,81%
1487,22%
1488,75%
1489,17 percent
1490,100 percent
1491,4.2 percent
1492,5.71 percent
1493,30 percent
1494,50 percent
1495,36.6 percent
1496,50 percent
1497,20%
1498,62%
1499,7.9%
1500,11%
1501,6.5 percent
1502,2.5%
1503,30 percent
1504,68.45%
1505,0.9%
1506,0.1%
1507,30.8%
1508,30.8%
1509,2.1%
1510,1.3%
1511,2.1 percent
1512,1.3 percent
1513,0.6 percent
1514,1.0 percent
1515,0.7 percent
1516,0.8 percent
1517,0.3 percent
1518,0.1 percent
1519,3.34 percent
1520,4.46 percent
1521,12 percent
1522,12 percent
1523,10 percent
1524,10 percent
1525,5.4 percent
1526,10 percent
1527,20 percent
1528,30 percent
1529,12.6%
1530,7.5 percent
1531,1.5 percent
1532,10 percent
1533,37%
1534,37%
1535,4.8%
1536,27 percent
1537,1.2%
1538,10%
1539,1.8%
1540,1.8%
1541,0.6%
1542,50%
1543,13.74%
1544,13.81%
1545,16.29%
1546,16.84%
1547,19.42%
1548,5.61%
1549,17.11%
1550,13.74%
1551,1.33%
1552,52.2 percent
1553,51.7 percent
1554,5.2 percent
1555,1.4 percent
1556,4.17 percent
1557,1.79 percent
1558,4.79 percent
1559,0.055 percent
1560,81.5 percent
1561,81.5 percent
1562,81.5 percent
1563,18.5 percent
1564,81%
1565,48%
1566,66 percent
1567,30 percent
1568,12.1%
1569,2.7%
1570,1.8%
1571,2.1%
1572,1.8%
1573,1.5%
1574,1.8%
1575,2.6%
1576,3.0%
1577,2.9%
1578,2.1%
1579,3.0%
1580,3.4%
1581,7.5%
1582,145 percent
1583,29 percent
1584,100%
1585,140%
1586,61%
1587,14%
1588,60 percent
1589,80 percent
1590,9.2%
1591,0.3%
1592,1.6%
1593,2.9%
1594,8.4%
1595,0.3%
1596,7.3%
1597,2.7%
1598,1.2%
1599,0.5%
1600,36%
1601,15.7%
1602,2.4%
1603,17.1%
1604,18.0%
1605,9.6%
1606,13.3%
1607,6.4 percent
1608,10 percent
1609,0.3%
1610,0.5%
1611,65%
1612,1.3%
1613,1.3%
1614,37 percent
1615,41 percent
1616,23 percent
1617,53 percent
1618,15 percent
1619,35 percent
1620,53 percent
1621,50 percent
1622,0.8%
1623,0.9%
1624,0.7%
1625,0.7%
1626,0.6%
1627,1.0%
1628,1.2%
1629,7.6%
1630,1.63%
1631,10.7%
1632,61%
1633,2.1%
1634,20%
1635,3.1%
1636,7.0%
1637,7.6%
1638,0.1%
1639,3.64%
1640,4.29%
1641,4.46%
1642,6.0%
1643,6.5%
1644,7.6%
1645,2.70%
1646,7.2%
1647,7.6%
1648,7.6%
1649,7.6%
1650,20 percent
1651,87%
1652,7.5%
1653,7.2%
1654,7.6%
1655,7.5%
1656,7.4%
1657,6.5%
1658,7.7%
1659,7.7%
1660,7.4%
1661,11%
1662,1.7%
1663,15%
1664,7.5%
1665,7.6 percent
1666,50%
1667,50%
1668,37%
1669,23%
1670,7.6 percent
1671,12%
1672,32%
1673,56%
1674,16%
1675,39%
1676,25%
1677,6.4%
1678,2.0%
1679,2.8%
1680,0.6%
1681,6.8%
1682,7.3%
1683,11%
1684,22.6%
1685,16%
1686,20%
1687,44%
1688,2.67%
1689,0.6%
1690,0.4%
1691,3.3%
1692,1.3%
1693,18.1%
1694,9.8%
1695,17.74%
1696,19.3%
1697,0.9%
1698,20%
1699,0.5%
1700,1.6%
1701,2.3%
1702,7.5%
1703,0.3%
1704,0.5%
1705,2.5%
1706,1.7%
1707,95 percent
1708,600 percent
1709,5.8%
1710,7.4%
1711,0.1 percent
1712,13.7%
1713,66%
1714,13%
1715,28%
1716,21%
1717,29%
1718,money and percent
1719,33.8%
1720,30.1%
1721,69.9%
1722,71 percent
1723,2.5%
1724,50%
1725,2.3%
1726,8.8%
1727,14.1%
1728,66%
1729,1.5%
1730,1.5 percent
1731,3.0 percent
1732,0.4 percent
1733,0.4 percent
1734,1.0 percent
1735,2.1 percent
1736,0.1 percent
1737,0.1 percent
1738,56%
1739,67%
1740,7.4%
1741,7.4%
1742,63.4%
1743,7.4%
1744,0.06%
1745,0.2%
1746,1.9%
1747,2.63%
1748,1.9%
1749,7.4%
1750,0.3%
1751,0.5%
1752,0.4%
1753,0.5%
1754,0.1%
1755,0.3%
1756,7.4%
1757,1.0%
1758,3.3%
1759,2.4%
1760,10%
1761,20 percent
1762,7.0 percent
1763,13.7 percent
1764,10 percent
1765,3.37 percent
1766,7.5%
1767,27.2%
1768,50%
1769,45%
1770,10.9%
1771,29.3%
1772,60%
1773,48%
1774,25%
1775,1.20%
1776,0.03%
1777,0.011%
1778,16.9%
1779,1.7%
1780,7.5%
1781,0.4%
1782,2.7%
1783,44%
1784,20%
1785,18%
1786,42%
1787,44%
1788,6.3%
1789,20%
1790,50%
1791,400%
1792,20%
1793,20%
1794,7.6%
1795,7.4%
1796,7.7%
1797,6.5%
1798,6.4%
1799,1.7%
1800,2.39%
1801,1.4%
1802,55%
1803,"9,080%"
1804,1.5%
1805,27.2%
1806,23.4%
1807,19.7%
1808,12%
1809,80 percent
1810,90%
1811,25%
1812,34.3%
1813,83.3%
1814,40 percent
1815,28.4%
1816,9.41%
1817,50%
1818,66%
1819,7.4%
1820,0.1%
1821,0.2%
1822,3.4%
1823,0.4%
1824,0.2%
1825,0.2%
1826,0.4%
1827,0.1%
